Code,Location,Registered Voters,Envelopes,Valid Votes,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
560294,Březová,2 263,1 206,1 192,112,20,93,42,108,17,10,7,1,0,106,0,27,457,3,13,8,7,6,151,4
560308,Bublava,337,198,195,19,0,13,10,13,2,1,5,0,0,22,0,9,64,0,4,1,1,3,28,0
560316,Bukovany,1 253,543,529,36,17,29,37,36,8,2,7,1,1,31,0,5,207,0,1,1,0,2,103,5
560324,Citice,723,371,364,23,0,28,21,38,4,7,5,2,0,24,0,6,146,1,3,1,0,0,51,4
560332,Dasnice,233,94,94,7,4,1,14,7,3,3,5,0,0,6,3,0,30,1,0,0,0,0,9,1
560341,Dolní Nivy,272,166,164,13,2,5,12,9,4,3,3,3,1,15,0,5,49,1,2,0,0,6,30,1
538591,Dolní Rychnov,1 086,602,598,62,15,39,27,51,5,3,11,0,1,53,1,29,229,0,19,3,0,5,41,4
560359,Habartov,4 023,1 744,1 730,141,36,120,68,138,12,25,32,2,1,83,3,40,695,10,20,13,2,11,261,17
560367,Horní Slavkov,4 828,2 415,2 390,185,26,146,106,189,21,34,44,6,2,211,3,58,1 021,11,31,5,6,9,268,8
560375,Chlum Svaté Maří,246,131,128,8,1,16,7,3,0,0,3,0,1,12,0,0,56,2,3,1,1,0,13,1
560383,Chodov,11 002,4 956,4 902,371,24,393,250,361,49,53,67,9,7,402,9,130,1 853,19,89,35,15,20,729,17
560413,Jindřichovice,397,224,222,12,0,6,8,17,2,2,5,0,0,12,0,4,108,2,10,0,0,2,31,1
511587,Josefov,303,185,184,13,5,5,13,21,0,6,4,0,0,23,0,4,53,6,3,1,0,1,25,1
560421,Kaceřov,372,188,188,6,4,6,8,13,1,3,1,0,0,9,0,3,98,1,1,0,1,3,30,0
560456,Krajková,748,396,395,31,3,16,18,53,3,2,12,1,0,28,0,4,140,1,12,2,1,2,64,2
560464,Královské Poříčí,666,352,348,20,6,28,17,30,4,4,10,1,1,23,1,8,138,2,9,4,1,1,38,2
560472,Kraslice,5 551,2 678,2 656,195,10,173,99,220,20,36,39,2,6,195,0,62,1 117,4,55,9,9,16,382,7
538337,Krásno,542,332,329,26,1,22,19,22,6,3,4,0,0,42,0,22,127,0,5,0,2,0,28,0
560499,Kynšperk nad Ohří,4 519,2 222,2 207,170,20,175,72,203,21,11,41,7,3,171,7,45,864,6,38,4,8,14,314,13
560502,Libavské Údolí,485,251,251,12,6,9,19,18,2,2,7,0,0,11,0,5,99,2,6,0,1,1,46,5
560537,Loket,2 483,1 394,1 383,152,17,98,66,68,27,14,35,0,0,168,2,133,374,3,27,11,2,6,174,6
560545,Lomnice,1 020,561,556,28,21,27,24,39,6,12,15,3,2,57,0,11,191,2,15,8,3,3,88,1
560561,Nová Ves,180,46,46,3,1,4,1,3,1,0,0,0,0,7,0,0,17,0,0,0,0,0,9,0
560570,Nové Sedlo,2 066,929,924,46,5,68,33,78,11,19,19,2,1,71,0,18,324,1,16,13,3,5,186,5
560588,Oloví,1 348,552,544,16,6,46,24,62,3,10,9,0,1,40,0,11,229,2,6,3,2,4,68,2
560596,Přebuz,77,50,50,4,0,3,2,13,3,0,1,0,0,1,0,4,11,0,0,0,0,0,8,0
560600,Rotava,2 474,1 103,1 097,35,10,160,19,149,7,16,4,5,2,73,0,8,397,5,23,4,0,6,173,1
560618,Rovná,260,95,95,5,2,9,4,20,0,3,0,1,0,3,0,0,28,2,1,0,0,1,16,0
560286,Sokolov,19 108,9 341,9 290,736,168,760,370,805,108,60,152,14,19,792,11,309,3 388,23,154,88,18,31,1 223,61
560642,Staré Sedlo,691,421,418,40,5,25,13,33,8,6,4,1,0,30,0,11,180,0,9,3,0,0,50,0
560651,Stříbrná,384,207,204,7,0,15,8,9,2,9,3,0,0,11,1,4,84,1,1,0,1,0,47,1
538434,Svatava,1 360,748,745,57,14,45,27,86,6,7,11,4,0,73,2,23,249,4,23,5,2,2,91,14
538396,Šabina,255,165,163,39,2,5,8,13,1,1,2,0,0,11,0,3,54,2,1,5,0,0,16,0
560677,Šindelová,270,157,157,10,0,25,6,4,2,2,2,0,0,11,0,3,67,1,1,1,1,1,20,0
538663,Tatrovice,141,77,75,3,1,3,3,3,0,2,0,0,0,3,0,2,36,0,0,1,1,2,15,0
579360,Těšovice,185,129,129,8,3,4,6,7,0,1,0,0,0,10,0,5,59,0,5,2,0,1,17,1
560685,Vintířov,905,386,378,11,1,48,19,26,5,7,2,0,0,21,0,4,166,6,3,3,0,3,52,1
560707,Vřesová,334,74,72,1,1,1,2,9,2,2,0,0,1,5,1,3,20,0,2,1,0,0,19,2
